Gene_Name	Num_Chr	txStart	txEnd
DUPD1	10	76797594	76818272
DUS1L	17	80015752	80023680
DUS2L	16	68057204	68113183
DUS3L	19	5785155	5791249
DUS4L	7	107204425	107218966
DUSP1	5	172195102	172198203
DUSP10	1	221874766	221915461
DUSP11	2	73989326	74007284
DUSP12	1	161719581	161726951
DUSP13	10	76854192	76868970
DUSP14	17	35849951	35873588
DUSP15	20	30435441	30458479
DUSP16	12	12627157	12715317
DUSP18	22	31048039	31063872
DUSP19	2	183943287	183964720
DUSP2	2	96808917	96811179
DUSP21	23	44703249	44704132
DUSP22	6	292101	351353
DUSP23	1	159750759	159752333
DUSP26	8	33448856	33457439
DUSP27	1	167064087	167098402
DUSP28	2	241499471	241503430
DUSP3	17	41843490	41856368
DUSP4	8	29193617	29208185
DUSP5	10	112257625	112271300
DUSP5P	1	228780657	228788159
DUSP6	12	89741839	89746296
DUSP7	3	52082939	52090461
DUSP8	11	1575281	1593150
DUSP9	23	152907897	152916780
DUT	15	48623621	48635568
DUX4	4	191005270	191006883
DUXA	19	57663094	57678856
DVL1	1	1270659	1284492
DVL2	17	7128661	7137863
DVL3	3	183873284	183891313
DVWA	3	15206869	15247466
DYDC1	10	82095864	82116511
DYDC2	10	82104501	82127829
DYM	18	46570172	46987079
DYNC1H1	14	102430865	102517135
DYNC1I1	7	95401818	95727735
DYNC1I2	2	172543982	172604919
DYNC1LI1	3	32567469	32612350
DYNC1LI2	16	66754799	66785525
DYNC2H1	11	102980160	103350591
DYNC2LI1	2	44001182	44037147
DYNLL1	12	120907660	120936297
DYNLL2	17	56160780	56167618
DYNLRB1	20	33104204	33128761
DYNLRB2	16	80574854	80584539
DYNLT1	6	159057506	159065740
DYNLT3	23	37698090	37706889
DYRK1A	21	38739859	38887678
DYRK1B	19	40315991	40324841
DYRK2	12	68042512	68056443
DYRK3	1	206808881	206857758
DYRK4	12	4671370	4723040
DYSF	2	71680753	71913892
DYSFIP1	17	79791368	79792926
DYTN	2	207516345	207583120
DYX1C1	15	55669147	55800432
DZIP1	13	96229329	96296957
DZIP1L	3	137780834	137834451
DZIP3	3	108308337	108413692
E2F1	20	32263293	32274210
E2F2	1	23832922	23857713
E2F3	6	20402137	20493945
E2F4	16	67226068	67232820
E2F5	8	86089619	86126751
E2F6	2	11584502	11606297
E2F7	12	77415027	77459360
E2F8	11	19245618	19263167
E4F1	16	2273567	2285742
EAF1	3	15469064	15484119
EAF2	3	121554034	121605372
EAPP	14	34985135	35008943
EARS2	16	23533335	23568696
EBAG9	8	110551929	110577389
EBF1	5	158122924	158526788
EBF2	8	25701573	25902392
EBF3	10	131633547	131762091
EBF4	20	2673524	2740753
EBI3	19	4229540	4237517
EBNA1BP2	1	43629846	43736607
EBP	23	48380164	48387102
EBPL	13	50234811	50265623
ECD	10	74894283	74927853
ECE1	1	21543740	21672034
ECE2	3	183967445	184010818
ECEL1	2	233344537	233352532
ECH1	19	39306064	39322497
ECHDC1	6	127609859	127664754
ECHDC2	1	53361904	53392851
ECHDC3	10	11784356	11806064
ECHS1	10	135175988	135186908
ECM1	1	150480487	150486264
ECM2	9	95255834	95298904
ECSCR	5	138778006	138842320
ECSIT	19	11616744	11639987
ECT2	3	172468532	172539263
ECT2L	6	139134309	139225207
EDA	23	68835911	69259319
EDA2R	23	65815483	65859108
EDAR	2	109510931	109605828
EDARADD	1	236557680	236648008
EDC3	15	74922900	74988386
EDC4	16	67906999	67920270
EDDM3A	14	21199860	21216538
EDDM3B	14	21236586	21239105
EDEM1	3	5229331	5261649
EDEM2	20	33703160	33865928
EDEM3	1	184659627	184724041
EDF1	9	139756571	139760738
EDIL3	5	83238126	83680611
EDN1	6	12290529	12297426
EDN2	1	41944449	41950344
EDN3	20	57875499	57901046
EDNRA	4	148401907	148466106
EDNRB	13	78469616	78549664
EEA1	12	93166286	93323107
EED	11	85955815	85989778
EEF1A1	6	74225475	74231291
EEF1A1P9	4	106405863	106407507
EEF1A2	20	62119366	62130505
EEF1B2	2	207024318	207027653
EEF1D	8	144661898	144679845
EEF1DP3	13	32420920	32533720
EEF1E1	6	8073595	8102828
EEF1G	11	62327073	62342401
EEF2	19	3976055	3985461
EEF2K	16	22217592	22300065
EEFSEC	3	127872313	128127488
EEPD1	7	36192836	36341151
EFCAB1	8	49623351	49647870
EFCAB10	7	105205581	105221976
EFCAB2	1	245133171	245288530
EFCAB3	17	60447579	60493837
EFCAB4A	11	826157	831991
EFCAB4B	12	3716318	3862366
EFCAB5	17	28256874	28435469
EFCAB6	22	43924654	44208118
EFCAB7	1	63989013	64038363
EFEMP1	2	56093103	56150932
EFEMP2	11	65633913	65640340
EFHA1	13	22066840	22178307
EFHA2	8	16884747	16980148
EFHB	3	19920968	19988501
EFHC1	6	52284994	52387892
EFHC2	23	44007129	44202923
EFHD1	2	233470767	233547490
EFHD2	1	15736391	15756839
EFNA1	1	155100349	155107384
EFNA2	19	1286168	1299944
EFNA3	1	155036213	155060006
EFNA4	1	155036213	155042027
EFNA5	5	106712591	107006596
EFNB1	23	68048840	68066029
EFNB2	13	107142098	107187337
EFNB3	17	7608520	7614691
EFR3A	8	132916359	133025769
EFR3B	2	25264973	25382003
EFS	14	23825612	23834842
EFTUD1	15	82422561	82555104
EFTUD2	17	42927655	42976993
EGF	4	110834040	110933411
EGFL6	23	13587741	13651693
EGFL7	9	139553308	139567129
EGFL8	6	32132382	32136313
EGFLAM	5	38258533	38465581
EGFR	7	55086725	55275030
EGLN1	1	231499497	231560790
EGLN2	19	41284171	41314336
EGLN3	14	34393423	34420287
EGOT	3	4790880	4793274
EGR1	5	137801181	137805004
EGR2	10	64571760	64578927
EGR3	8	22545174	22550815
EGR4	2	73518058	73520829
EHBP1	2	62901013	63273619
EHBP1L1	11	65343509	65360115
EHD1	11	64620208	64647149
EHD2	19	48216601	48246390
EHD3	2	31456880	31491259
EHD4	15	42191641	42264755
EHF	11	34642668	34683081
EHHADH	3	184908414	184971837
EHMT1	9	140513444	140730576
EHMT2	6	31847537	31865464
EI24	11	125439298	125454574
EID1	15	49170290	49172380
EID2	19	40029449	40030838
EID2B	19	40021630	40023494
EID3	12	104697549	104698980
EIF1	17	39845127	39847897
EIF1AD	11	65764017	65769588
EIF1AX	23	20142637	20159966
EIF1AY	24	22737611	22755039
EIF1B	3	40351173	40353913
EIF2A	3	150264574	150303802
EIF2AK1	7	6061880	6098860
EIF2AK2	2	37333699	37384190
EIF2AK3	2	88856261	88926994
EIF2AK4	15	40226347	40327797
EIF2B1	12	124105571	124118247
EIF2B2	14	75469612	75476292
EIF2B3	1	45316450	45452282
EIF2B4	2	27587221	27593324
EIF2B5	3	183852810	183863098
EIF2C1	1	36335409	36389897
EIF2C2	8	141541265	141645645
EIF2C3	1	36396319	36522062
EIF2C4	1	36273828	36321188
EIF2S1	14	67827034	67853232
EIF2S2	20	32676117	32700085
EIF2S3	23	24073065	24096925
EIF3A	10	120794542	120840334
EIF3B	7	2394474	2420375
EIF3C	16	28722782	28747052
EIF3CL	16	28699879	28747052
EIF3D	22	36906898	36925277
EIF3E	8	109213973	109260959
EIF3F	11	8008445	8017716
EIF3G	19	10225691	10230599
EIF3H	8	117657056	117778494
EIF3I	1	32687185	32697204
EIF3IP1	7	109599284	109600270
EIF3J	15	44829266	44854999
EIF3K	19	39109722	39127595
EIF3L	22	38245370	38284637
EIF3M	11	32605391	32624012
EIF4A1	17	7468276	7482324
EIF4A2	3	186501361	186507683
EIF4A3	17	78109019	78120938
EIF4B	12	53400062	53435992
EIF4E	4	99799607	99851786
EIF4E1B	5	176057683	176073642
EIF4E2	2	233415357	233448349
EIF4E3	3	71728442	71803924
EIF4EBP1	8	37888020	37917882
EIF4EBP2	10	72163861	72188372
EIF4EBP3	5	139927251	139929163
EIF4ENIF1	22	31835355	31885923
EIF4G1	3	184032356	184053145
EIF4G2	11	10818594	10830582
EIF4G3	1	21132976	21503340
EIF4H	7	73588706	73611429
EIF5	14	103800493	103811359
EIF5A	17	7210318	7215780
EIF5A2	3	170606205	170626426
EIF5AL1	10	81272357	81276190
EIF5B	2	99953834	100016726
EIF6	20	33866725	33872594
ELAC1	18	48494387	48514489
ELAC2	17	12895703	12921359
ELANE	19	852291	856244
ELAVL1	19	8023458	8070529
ELAVL2	9	23690105	23826063
ELAVL3	19	11562143	11591803
ELAVL4	1	50513686	50667540
ELF1	13	41506056	41593508
ELF2	4	139978871	140098372
ELF3	1	201977073	201986306
ELF4	23	129198896	129244688
ELF5	11	34500342	34535330
ELFN1	7	1748798	1787590
ELFN2	22	37763979	37823505
ELK1	23	47494921	47510003
ELK3	12	96588207	96661606
ELK4	1	205585235	205649630
ELL	19	18553475	18632937
ELL2	5	95220804	95297775
ELL3	15	44064798	44091335
ELMO1	7	36893961	37488530
ELMO2	20	44994690	45061704
ELMO3	16	67233028	67237926
ELMOD1	11	107461817	107537504
ELMOD2	4	141445352	141471843
ELMOD3	2	85581843	85618873
ELN	7	73442427	73484234
ELOF1	19	11663858	11670051
ELOVL1	1	43829073	43833699
ELOVL2	6	10980995	11044624
ELOVL3	10	103986143	103989342
ELOVL4	6	80624536	80657315
ELOVL5	6	53132196	53213942
ELOVL6	4	110970230	111119820
ELOVL7	5	60047617	60140101
ELP2	18	33709887	33754607
ELP2P	17	655900	658576
ELP3	8	27947749	28048667
ELP4	11	31531297	31805327
ELSPBP1	19	48497931	48528403
ELTD1	1	79355451	79472495
EMB	5	49692033	49737234
EMCN	4	101316500	101439250
EMD	23	153607597	153609881
EME1	17	48450590	48458818
EME2	16	1823229	1826340
EMG1	12	7079944	7105520
EMID1	22	29601953	29655585
EMID2	7	101006122	101202304
EMILIN1	2	27301506	27309263
EMILIN2	18	2847028	2914088
EMILIN3	20	39988606	39995498
EML1	14	100204069	100408393
EML2	19	46112660	46148726
EML3	11	62369691	62380237
EML4	2	42396490	42559686
EML5	14	89081205	89259157
EML6	2	54952149	55199154
EMP1	12	13349602	13369707
EMP2	16	10622280	10674539
EMP3	19	48828629	48833810
EMR1	19	6887582	6940463
EMR2	19	14843205	14889353
EMR3	19	14730052	14785730
EMR4P	19	6952512	6990857
EMX1	2	73143389	73162020
EMX2	10	119301956	119309056
EMX2OS	10	119243805	119304579
EN1	2	119599748	119605759
EN2	7	155250824	155257520
ENAH	1	225674534	225840845
ENAM	4	71494461	71512536
ENC1	5	73923235	73937249
ENDOD1	11	94823017	94865815
ENDOG	9	131580779	131584954
ENDOU	12	48103528	48119350
ENG	9	130577292	130617047
ENGASE	17	77071019	77084679
ENHO	9	34521040	34523037
ENKUR	10	25270917	25351208
ENO1	1	8921063	8938780
ENO2	12	7023614	7032859
ENO3	17	4854386	4860422
ENOPH1	4	83351726	83382243
ENOSF1	18	672544	712662
ENOX1	13	43787680	44361106
ENOX2	23	129757359	130037208
ENPEP	4	111397229	111484491
ENPP1	6	132129156	132216293
ENPP2	8	120569319	120651106
ENPP3	6	131949582	132068549
ENPP4	6	46097701	46114435
ENPP5	6	46127762	46138717
ENPP6	4	185009860	185139114
ENPP7	17	77704882	77716020
ENSA	1	150594604	150602098
ENTHD1	22	40139050	40289794
ENTPD1	10	97471536	97637022
ENTPD2	9	139942553	139948505
ENTPD3	3	40428673	40470109
ENTPD4	8	23243442	23315244
ENTPD5	14	74424715	74486026
ENTPD6	20	25176339	25207360
ENTPD7	10	101419263	101471001
ENTPD8	9	140328817	140335901
ENY2	8	110346576	110355910
EOMES	3	27757888	27764206
EP300	22	41488614	41576080
EP400	12	132434508	132565004
EP400NL	12	132568828	132600084
EPAS1	2	46524563	46613835
EPB41	1	29213628	29446958
EPB41L1	20	34679426	34820720
EPB41L2	6	131160488	131384462
EPB41L3	18	5392388	5630642
EPB41L4A	5	111478138	111755010
EPB41L4B	9	111934254	112083021
EPB41L5	2	120770669	120936694
EPB42	15	43489428	43513323
EPB49	8	21911081	21940035
EPC1	10	32557859	32667667
EPC2	2	149402560	149545135
EPCAM	2	47572297	47614165
EPDR1	7	37960163	37991539
EPGN	4	75174204	75180387
EPHA1	7	143088207	143105985
EPHA10	1	38179555	38230824
EPHA2	1	16450832	16482564
EPHA3	3	89156674	89531282
EPHA4	2	222282749	222438922
EPHA5	4	66185282	66535653
EPHA6	3	96533425	97467786
EPHA7	6	93949742	94129300
EPHA8	1	22890004	22930087
EPHB1	3	134514260	134979305
EPHB2	1	23037331	23241822
EPHB3	3	184279587	184300195
EPHB4	7	100400187	100425143
EPHB6	7	142552792	142568845
EPHX1	1	225997797	226033260
EPHX2	8	27348645	27402484
EPHX3	19	15337731	15343858
EPHX4	1	92495533	92529093
EPM2A	6	145946446	146057122
EPM2AIP1	3	37027358	37034795
EPN1	19	56186561	56207132
EPN2	17	19140690	19240027
EPN3	17	48610048	48621110
EPO	7	100318423	100321321
EPOR	19	11488303	11495019
EPPK1	8	144939912	144947434
EPR1	17	76210321	76220783
EPRS	1	220141942	220220000
EPS15	1	51819935	51984995
EPS15L1	19	16466061	16582762
EPS8	12	15773076	15942510
EPS8L1	19	55583388	55599290
EPS8L2	11	706120	727726
EPS8L3	1	110292702	110306564
EPSTI1	13	43462122	43566377
EPT1	2	26568954	26618759
EPX	17	56270122	56282525
EPYC	12	91357458	91398803
ERAL1	17	27182043	27188072
ERAP1	5	96096515	96149837
ERAP2	5	96211644	96255398
ERAS	23	48687283	48688548
ERBB2	17	37844393	37884914
ERBB2IP	5	65222384	65376850
ERBB3	12	56473892	56497127
ERBB4	2	212240442	213403352
ERC1	12	1100404	1605099
ERC2	3	55542336	56502391
ERCC1	19	45912872	45982086
ERCC2	19	45854649	45873845
ERCC3	2	128014866	128051752
ERCC4	16	14014014	14046205
ERCC5	13	103459496	103528345
ERCC6	10	50664492	50747147
ERCC6L	23	71424507	71458858
ERCC8	5	60169659	60240905
EREG	4	75230860	75254477
ERF	19	42751718	42759309
ERG	21	39751952	40033704
ERGIC1	5	172261223	172379683
ERGIC2	12	29493580	29534143
ERGIC3	20	34129778	34145404
ERH	14	69846840	69865021
ERI1	8	8860314	8890849
ERI2	16	20791516	20911561
ERI3	1	44686743	44820939
ERICH1	8	564749	681226
ERLEC1	2	54014068	54046495
ERLIN1	10	101909848	101945814
ERLIN2	8	37594097	37615318
ERMAP	1	43282776	43310660
ERMN	2	158175126	158184146
ERMP1	9	5765076	5833081
ERN1	17	62120390	62207502
ERN2	16	23701628	23724821
ERO1L	14	53108607	53162419
ERO1LB	1	236378424	236445339
ERP27	12	15066977	15091463
ERP29	12	112451152	112461024
ERP44	9	102741465	102861330
ERRFI1	1	8071780	8086393
ERVFRDE1	6	11102724	11111959
ESAM	11	124622027	124632223
ESCO1	18	19109262	19180693
ESCO2	8	27632058	27670141
ESD	13	47345392	47371367
ESF1	20	13694970	13765565
ESM1	5	54273696	54281414
ESPL1	12	53662083	53687427
ESPN	1	6484848	6521003
ESPNL	2	239008951	239041927
ESPNP	1	17017713	17046652
ESR1	6	152011631	152424406
ESR2	14	64693753	64805268
ESRP1	8	95653364	95719692
ESRP2	16	68262450	68270136
ESRRA	11	64073044	64084210
ESRRB	14	76837690	76968178
ESRRG	1	216676588	217311097
ESX1	23	103494720	103499588
ESYT1	12	56522054	56538452
ESYT2	7	158523689	158622319
ESYT3	3	138153415	138197255
ETAA1	2	67624442	67637533
ETF1	5	137841788	137878932
ETFA	15	76508629	76603810
ETFB	19	51848410	51869672
ETFDH	4	159593277	159629839
ETHE1	19	44010872	44031396
ETNK1	12	22778076	22843607
ETNK2	1	204100191	204121307
ETS1	11	128328656	128457453
ETS2	21	40177231	40196876
ETV1	7	13930858	14031050
ETV2	19	36132647	36135773
ETV3	1	157094459	157108383
ETV3L	1	157061836	157069600
ETV4	17	41605212	41623762
ETV5	3	185764108	185826901
ETV6	12	11802788	12268261
ETV7	6	36321998	36355467
EVC	4	5712924	5830772
EVC2	4	5564154	5711275
EVI2A	17	29644676	29648717
EVI2B	17	29630788	29641130
EVI5	1	92974255	93257961
EVI5L	19	7895161	7929861
EVL	14	100438151	100610572
EVPL	17	74002927	74023507
EVPLL	17	18281079	18292958
EVX1	7	27282164	27286192
EVX2	2	176944837	176948690
EWSR1	22	29663998	29696514
EXD1	15	41474933	41522895
EXD2	14	69658246	69709071
EXD3	9	140201348	140317714
EXO1	1	242011535	242053047
EXOC1	4	56719816	56771244
EXOC2	6	485139	693109
EXOC3	5	443334	467407
EXOC3L	16	67213333	67224107
EXOC3L2	19	45715879	45737469
EXOC4	7	132937823	133750511
EXOC5	14	57669196	57735617
EXOC6	10	94590935	94819250
EXOC6B	2	72406445	73053177
EXOC7	17	74077087	74099868
EXOC8	1	231468483	231473578
EXOG	3	38537763	38567796
EXOSC1	10	99195667	99205768
EXOSC10	1	11126678	11159938
EXOSC2	9	133569158	133580452
EXOSC3	9	37779949	37785067
EXOSC4	8	145133522	145135550
EXOSC5	19	41892278	41903256
EXOSC6	16	70284134	70285833
EXOSC7	3	45016750	45054158
EXOSC8	13	37574678	37583749
EXOSC9	4	122722472	122738175
EXPH5	11	108376159	108464374
EXT1	8	118811602	119124058
EXT2	11	44097076	44266979
EXTL1	1	26348271	26362952
EXTL2	1	101337941	101360418
EXTL3	8	28559153	28611202
EYA1	8	72109670	72274467
EYA2	20	45523263	45817490
EYA3	1	28300819	28415131
EYA4	6	133561736	133853257
EYS	6	64429876	66417118
EZH1	17	40852294	40897071
EZH2	7	148504475	148581414
EZR	6	159186774	159240456
F10	13	113777113	113803841
F11	4	187187118	187210835
F11R	1	160965002	161008774
F12	5	176829141	176836577
F13A1	6	6144312	6320924
F13B	1	197008321	197036397
F2	11	46740743	46761055
F2R	5	76011868	76031594
F2RL1	5	76114833	76131139
F2RL2	5	75911308	75919240
F2RL3	19	16999826	17002828
F3	1	94994732	95007371
F5	1	169481192	169555769
F7	13	113760105	113774994
F8	23	154064070	154255215
F8A1	23	154114650	154115765
F9	23	138612895	138645617
FA2H	16	74746858	74808721
FAAH	1	46859939	46879520
FAAH2	23	57313110	57515627
FABP1	2	88422510	88427578
FABP12	8	82437283	82443550
FABP2	4	120238406	120243316
FABP3	1	31838100	31845923
FABP4	8	82390732	82395473
FABP5	8	82192785	82197008
FABP5L3	7	152133980	152140098
FABP6	5	159614374	159665729
FABP7	6	123100646	123105216
FABP9	8	82370619	82373758
FADD	11	70049269	70053508
FADS1	11	61567103	61584529
FADS2	11	61583728	61634825
FADS3	11	61640999	61659422
FADS6	17	72873473	72889705
FAF1	1	50906935	51425936
FAF2	5	175875356	175937074
FAH	15	80445131	80478682
FAHD1	16	1877225	1890201
FAHD2A	2	96068448	96078878
FAHD2B	2	97749324	97760582
FAIM	3	138327542	138352211
FAIM2	12	50260680	50297765
FAIM3	1	207076633	207096592
FAM100A	16	4658884	4664927
FAM100B	17	74261286	74267379
FAM101A	12	124773710	124800568
FAM101B	17	289774	295731
FAM102A	9	130702861	130742495
FAM102B	1	109102971	109181948
FAM103A1	15	83654995	83659423
FAM104A	17	71203493	71228533
FAM104B	23	55169535	55187609
FAM105A	5	14581891	14616285
FAM105B	5	14664783	14699841
FAM106A	17	18427880	18430160
FAM106C	17	16692057	16693815
FAM107A	3	58549847	58613337
FAM107B	10	14560559	14816896
FAM108A1	19	1876976	1885518
FAM108B1	9	74477370	74526148
FAM108C1	15	80987652	81047960
FAM109A	12	111798485	111806925
FAM109B	22	42470255	42475441
FAM10A4	13	50746154	50747749
FAM110A	20	814356	838103
FAM110B	8	58907113	59062277
FAM110C	2	41609	46385
FAM111A	11	58910318	58922509
FAM111B	11	58874658	58894886
FAM113A	20	2815971	2821797
FAM113B	12	47473386	47630441
FAM114A1	4	38869437	38945424
FAM114A2	5	153371271	153418497
FAM115A	7	143550049	143599219
FAM115C	7	143318045	143427502
FAM116A	3	57611182	57678816
FAM116B	22	50750392	50765489
FAM117A	17	47787689	47865937
FAM117B	2	203499901	203634479
FAM118A	22	45705081	45737834
FAM118B	11	126081619	126132540
FAM119A	2	208446079	208490065
FAM119B	12	58166383	58176323
FAM120A	9	96214173	96328396
FAM120AOS	9	96198896	96215874
FAM120B	6	170615844	170714236
FAM120C	23	54094759	54209714
FAM122A	9	71394964	71398609
FAM122B	23	133903597	133931262
FAM122C	23	133930443	133988616
FAM123A	13	25742673	25746305
FAM123B	23	63404998	63425624
FAM123C	2	131513077	131525707
FAM124A	13	51796507	51855616
FAM124B	2	225243416	225266711
FAM125A	19	17530912	17536140
FAM125B	9	129089128	129273699
FAM126A	7	22980887	23053770
FAM126B	2	201838442	201936392
FAM127A	23	134166333	134167568
FAM127B	23	134184967	134186221
FAM127C	23	134154534	134156566
FAM128A	2	132241534	132250064
FAM128B	2	130939703	130948299
FAM129A	1	184760167	184943682
FAM129B	9	130267619	130341268
FAM129C	19	17634110	17664647
FAM131A	3	184053717	184064062
FAM131B	7	143050494	143059840
FAM131C	1	16361814	16400127
FAM132A	1	1177833	1182102
FAM133A	23	92929205	92967261
FAM133B	7	92190074	92219706
FAM134A	2	220042939	220050190
FAM134B	5	16473148	16617118
FAM134C	17	40731526	40762641
FAM135A	6	71123107	71270875
FAM135B	8	139142268	139509065
FAM136A	2	70523109	70529220
FAM136B	6	3045618	3046032
FAM138B	2	114334959	114336428
FAM138D	12	147946	149412
FAM138E	15	102495088	102496557
FAM138F	1	34612	36081
FAM13A	4	89647106	90032549
FAM13AOS	4	89630940	89651254
FAM13B	5	137273642	137368802
FAM13C	10	61005890	61122661
FAM149A	4	187065215	187093816
FAM149B1	10	74927877	75001938
FAM150A	8	53446598	53478021
FAM150B	2	279563	288308
FAM151A	1	55074851	55089200
FAM151B	5	79783800	79838206
FAM153A	5	177138237	177210399
FAM153B	5	175487692	175543455
FAM153C	5	177433973	177476088
FAM154A	9	18927893	19033184
FAM154B	15	82555152	82577265
FAM155A	13	107820880	108519460
FAM155B	23	68725078	68752349
FAM156A	23	52920634	52937583
FAM157A	3	197879237	197935258
FAM157B	9	141106637	141134172
FAM158A	14	24608175	24610797
FAM159A	1	53099066	53135337
FAM160A1	4	152330398	152584784
FAM160A2	11	6232565	6255941
FAM160B1	10	116581503	116659585
FAM160B2	8	21946714	21961890
FAM161A	2	62051985	62081278
FAM161B	14	74400705	74416835
FAM162A	3	122103023	122128960
FAM162B	6	117073360	117086886
FAM163A	1	179696915	179785326
FAM163B	9	136444145	136445345
FAM164A	8	79578282	79631995
FAM164C	14	75536299	75544798
FAM165B	21	35747749	35775074
FAM166A	9	140138037	140142222
FAM166B	9	35561945	35563896
FAM167A	8	11278973	11324276
FAM167B	1	32712818	32714459
FAM168A	11	73117028	73309228
FAM168B	2	131805450	131851004
FAM169A	5	74073401	74191788
FAM169B	15	98980391	99057611
FAM170A	5	118965254	118971516
FAM170B	10	50339203	50342065
FAM171A1	10	15253647	15413058
FAM171A2	17	42431101	42441235
FAM171B	2	187558789	187630684
FAM172A	5	92953432	93447404
FAM173A	16	771158	772589
FAM173B	5	10226438	10250014
FAM174A	5	99871124	99922440
FAM174B	15	93160681	93277304
FAM175A	4	84382094	84406290
FAM175B	10	126490354	126525238
FAM176A	2	75719444	75796848
FAM176B	1	36787632	36789755
FAM177A1	14	35514113	35552587
FAM177B	1	222910558	222924001
FAM178A	10	102672326	102724889
FAM178B	2	97541620	97652301
FAM179A	2	29204164	29275094
FAM179B	14	45431416	45543633
FAM180A	7	135414347	135433594
FAM180B	11	47608245	47610746
FAM181A	14	94385258	94395944
FAM181B	11	82443053	82444906
FAM182A	20	26035250	26067552
FAM182B	20	25744102	25848786
FAM183A	1	43613594	43622064
FAM183B	7	38724947	38726689
FAM184A	6	119280998	119470358
FAM184B	4	17633711	17783135
FAM185A	7	102389399	102467706
FAM186A	12	50720013	50790405
FAM186B	12	49976659	49999433
FAM187B	19	35715704	35719628
FAM188A	10	15820175	15902519
FAM188B	7	30791751	30932001
FAM189A1	15	29412455	29862927
FAM189A2	9	71939488	72007370
FAM189B	1	155216997	155225274
FAM18A	16	10855083	10912621
FAM18B	17	18684582	18710026
FAM18B2	17	15343525	15466945
FAM190A	4	91048684	92523369
FAM190B	10	86088410	86278276
FAM192A	16	57186382	57219976
FAM193A	4	2597828	2734301
FAM193B	5	176946791	176981538
FAM194A	3	150377677	150421742
FAM194B	13	46115432	46189874
FAM195A	16	691849	698474
FAM195B	17	79780293	79791167
FAM196A	10	128933690	128994422
FAM196B	5	169290719	169407744
FAM197Y2	24	9187189	9213071
FAM198A	3	43020759	43101703
FAM198B	4	159045733	159094202
FAM199X	23	103411301	103436125
FAM19A1	3	68040734	68594769
FAM19A2	12	62102043	62653925
FAM19A3	1	113263189	113269854
FAM19A4	3	68780917	68981711
FAM19A5	22	48885288	49147742
FAM200A	7	99143924	99156115
FAM200B	4	15683352	15692062
FAM20A	17	66531258	66597095
FAM20B	1	178995074	179045701
FAM20C	7	192969	300711
FAM21A	10	51827684	51893268
FAM21B	10	47894023	47949416
FAM21C	10	46222667	46288411
FAM22A	10	88985205	88994731
FAM22D	10	89102493	89130452
FAM22F	9	97080478	97090926
FAM22G	9	99690592	99704572
FAM23A	10	17794251	17842864
FAM24A	10	124670217	124672625
FAM24B	10	124608613	124639157
FAM25A	10	88780056	88784486
FAM25B	10	48247662	48252123
FAM26D	6	116850195	116880030
FAM26E	6	116832808	116839708
FAM26F	6	116782556	116784933
FAM27A	9	45727029	45728282
FAM27B	9	67792930	67794189
FAM27C	9	44990236	44991491
FAM27L	17	21825370	21826503
FAM32A	19	16296235	16302855
FAM35A	10	88854953	88951220
FAM35B	10	46897641	46939143
FAM35B2	10	47379720	47421236
FAM36A	1	244998639	245008357
FAM38A	16	88781588	88851375
FAM38B	18	10670860	10701979
FAM3A	23	153734506	153744535
FAM3B	21	42676177	42729654
FAM3C	7	120988907	121036422
FAM3D	3	58619671	58652561
FAM40A	1	110574199	110597424
FAM40B	7	129074274	129128237
FAM41AY1	24	19612838	19628621
FAM41C	1	803453	812182
FAM43A	3	194406622	194409764
FAM43B	1	20878932	20881512
FAM45A	10	120863611	120897215
FAM45B	23	129628915	129630732
FAM46A	6	82455448	82462428
FAM46B	1	27331513	27339333
FAM46C	1	118148604	118171010
FAM46D	23	79591003	79700810
FAM47A	23	34147875	34150428
FAM47B	23	34960931	34963034
FAM47C	23	37026470	37029739
FAM47E	4	77135193	77204923
FAM48A	13	37583453	37633850
FAM48B1	23	24380878	24383540
FAM48B2	23	24328980	24331432
FAM49A	2	16733901	16847096
FAM49B	8	130853718	131028897
FAM50A	23	153672485	153679001
FAM50B	6	3849632	3851550
FAM53A	4	1641609	1685854
FAM53B	10	126305649	126478907
FAM53C	5	137673224	137685416
FAM54A	6	136552168	136571449
FAM54B	1	26146397	26159432
FAM55A	11	114392438	114430580
FAM55B	11	114549200	114577652
FAM55C	3	101498029	101547073
FAM55D	11	114441314	114466484
FAM57A	17	635847	646074
FAM57B	16	30035749	30042186
FAM58A	23	152853385	152864632
FAM58B	1	200182656	200183643
FAM59A	18	29847477	30050447
FAM5B	1	177140633	177251557
FAM5C	1	190066797	190446759
FAM60A	12	31433527	31479159
FAM63A	1	150969302	150980854
FAM63B	15	59063393	59149732
FAM64A	17	6347795	6354384
FAM65A	16	67562754	67580688
FAM65B	6	24804513	25042398
FAM65C	20	49202649	49307916
FAM66A	8	12219528	12279968
FAM66C	12	8332805	8368747
FAM66D	8	11973291	12424354
FAM66E	8	7812535	7866277
FAM69A	1	93298453	93427079
FAM69B	9	139607024	139619169
FAM69C	18	72102964	72124503
FAM70A	23	119392506	119445391
FAM70B	13	114462216	114514895
FAM71A	1	212797816	212800114
FAM71B	5	156589351	156593279
FAM71C	12	100041535	100043824
FAM71D	14	67656146	67695267
FAM71E1	19	50970047	50980003
FAM71E2	19	55866276	55874620
FAM71F1	7	128349115	128371797
FAM71F2	7	128312346	128324299
